,HOME_TEAM,AWAY_TEAM,H_W_PCT,H_FG_PCT,H_FG3_PCT,H_FT_PCT,H_REB,H_AST,H_TOV,H_STL,H_BLK,H_PLUS_MINUS,H_OFF_RATING,H_DEF_RATING,H_TS_PCT,A_W_PCT,A_FG_PCT,A_FG3_PCT,A_FT_PCT,A_REB,A_AST,A_TOV,A_STL,A_BLK,A_PLUS_MINUS,A_OFF_RATING,A_DEF_RATING,A_TS_PCT,RESULT,DATE
81,Atlanta Hawks,Cleveland Cavaliers,0.667,0.466,0.4,0.814,47.8,24.3,15.6,6.0,4.1,7.6,116.7,109.4,0.599,0.667,0.463,0.371,0.682,44.7,25.2,16.4,10.6,5.0,2.6,104.2,101.8,0.545,0,01/02/2021
82,New Orleans Pelicans,Toronto Raptors,0.667,0.447,0.322,0.687,49.0,21.9,16.5,9.3,4.5,2.7,105.7,103.6,0.545,0.2,0.414,0.332,0.82,43.0,23.5,15.8,8.4,6.0,-2.5,101.6,104.1,0.535,1,01/02/2021
83,Golden State Warriors,Portland Trail Blazers,0.5,0.424,0.317,0.796,41.6,19.8,14.0,6.8,6.2,-9.9,105.1,115.2,0.543,0.5,0.435,0.375,0.789,42.3,21.0,11.5,7.7,3.7,-3.7,111.8,115.7,0.56,1,01/03/2021
84,San Antonio Spurs,Utah Jazz,0.333,0.451,0.372,0.764,44.6,25.9,11.8,6.6,6.0,-4.3,106.9,110.6,0.54,0.667,0.461,0.38,0.721,51.3,22.7,15.8,5.3,5.0,5.3,112.0,106.7,0.57,0,01/03/2021
85,Chicago Bulls,Dallas Mavericks,0.429,0.454,0.356,0.801,40.2,21.8,17.1,7.7,3.7,-6.5,106.1,113.2,0.572,0.333,0.442,0.307,0.741,41.3,21.1,12.4,9.0,3.0,0.8,106.3,106.2,0.552,1,01/03/2021
86,Phoenix Suns,LA Clippers,0.714,0.469,0.37,0.822,43.0,26.0,14.2,5.6,4.7,7.5,110.7,103.4,0.584,0.714,0.468,0.417,0.813,42.3,25.3,14.3,7.5,5.2,2.1,114.0,111.4,0.589,0,01/03/2021
87,Brooklyn Nets,Washington Wizards,0.429,0.467,0.384,0.819,44.9,23.0,15.7,6.8,6.2,4.3,111.6,107.3,0.592,0.286,0.475,0.377,0.742,41.1,26.5,14.1,6.7,3.6,-1.6,111.6,113.3,0.577,0,01/03/2021
88,Detroit Pistons,Boston Celtics,0.167,0.432,0.341,0.761,44.3,23.3,14.8,7.4,4.2,-5.8,106.6,111.7,0.538,0.571,0.488,0.386,0.712,41.9,24.3,15.5,10.0,6.8,-0.7,111.4,111.8,0.577,0,01/03/2021
89,Minnesota Timberwolves,Denver Nuggets,0.333,0.44,0.314,0.728,41.6,22.7,14.4,8.7,5.1,-13.1,104.3,116.8,0.527,0.333,0.491,0.379,0.729,41.5,28.7,15.1,6.8,4.8,0.0,115.4,115.8,0.591,0,01/03/2021
90,Memphis Grizzlies,Los Angeles Lakers,0.333,0.443,0.319,0.765,46.1,24.0,14.7,7.2,4.8,-5.6,105.0,111.3,0.532,0.714,0.496,0.406,0.767,47.9,25.8,15.3,6.5,5.6,11.0,115.7,104.5,0.598,0,01/03/2021
91,Philadelphia 76ers,Charlotte Hornets,0.857,0.471,0.357,0.757,47.5,24.9,16.6,8.8,7.1,9.1,108.2,99.4,0.574,0.286,0.442,0.357,0.701,43.1,28.9,16.0,8.8,4.7,-4.9,104.5,109.0,0.54,1,01/04/2021
92,Golden State Warriors,Sacramento Kings,0.571,0.439,0.352,0.8,41.9,22.4,13.4,6.4,6.1,-4.4,107.9,112.6,0.56,0.429,0.442,0.345,0.733,45.5,21.3,14.3,6.1,5.1,-5.9,106.6,111.8,0.538,1,01/04/2021
93,Orlando Magic,Cleveland Cavaliers,0.714,0.438,0.335,0.83,47.8,21.3,12.7,8.2,2.9,2.9,108.1,105.0,0.535,0.571,0.453,0.369,0.674,43.7,24.7,16.5,10.9,4.9,-0.6,102.1,102.8,0.534,1,01/04/2021
